ID,type,region,province,district,postalCode,localityType,bedroomCount,netHabitableSurface,condition,epcScore,bathroomCount,showerRoomCount,toiletCount,hasLift,fireplaceExists,hasSwimmingPool,hasAirConditioning,hasGarden,hasTerrace,gardenSurface,terraceSurface,land,price
10661896,HOUSE,Flanders,West Flanders,Brugge,8000,1,3.0,137.0,GOOD,B,1.0,0.0,1.0,0,0,0,0,0,1,0.0,0.0,150.0,349000.0
10661911,HOUSE,Flanders,Flemish Brabant,Leuven,3053,2,4.0,244.0,AS_NEW,UNKNOWN,2.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,915.0,798000.0
10661902,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1730,4,3.0,167.0,GOOD,B,1.0,0.0,2.0,1,1,0,0,0,0,0.0,0.0,0.0,325000.0
10661914,HOUSE,Wallonie,Hainaut,Mons,7340,4,3.0,120.0,TO_RENOVATE,E,1.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,210.0,130000.0
10661922,HOUSE,Flanders,Limburg,Hasselt,3580,4,3.0,233.0,JUST_RENOVATED,D,1.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,1250.0,365000.0
10661920,HOUSE,Wallonie,Hainaut,Mons,7300,3,2.0,126.0,TO_RENOVATE,F,1.0,0.0,0.0,0,1,0,0,0,1,0.0,0.0,410.0,100000.0
10661921,HOUSE,Wallonie,Hainaut,Mons,7380,4,2.0,94.0,UNKNOWN,G,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,47.0,100000.0
10661923,HOUSE,Flanders,East Flanders,Aalst,9300,3,3.0,132.0,GOOD,UNKNOWN,2.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,56.0,265000.0
10661925,HOUSE,Flanders,West Flanders,Kortrijk,8930,4,2.0,215.0,GOOD,F,1.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,393.0,299000.0
10661926,HOUSE,Wallonie,Hainaut,Charleroi,6040,2,4.0,201.0,AS_NEW,D,0.0,1.0,1.0,0,1,0,0,1,1,100.0,30.0,254.0,199000.0
10661927,HOUSE,Wallonie,Hainaut,Charleroi,6030,2,2.0,135.0,GOOD,E,1.0,0.0,1.0,0,1,0,0,1,1,237.0,14.0,284.0,79000.0
10661932,HOUSE,Flanders,Antwerp,Antwerp,2018,2,3.0,140.0,GOOD,C,1.0,0.0,1.0,0,1,0,0,0,0,0.0,0.0,68.0,399000.0
10661935,HOUSE,Flanders,West Flanders,Kortrijk,8583,4,4.0,218.0,GOOD,F,0.0,0.0,2.0,0,0,0,0,0,1,0.0,0.0,710.0,230000.0
10661933,APARTMENT,Flanders,Antwerp,Antwerp,2610,4,3.0,109.0,GOOD,C,1.0,1.0,1.0,1,1,0,0,0,1,0.0,0.0,0.0,259000.0
10661937,HOUSE,Wallonie,Liège,Liège,4102,3,4.0,201.0,GOOD,G,1.0,1.0,3.0,0,1,0,0,1,1,0.0,100.0,1200.0,499999.0
10661945,APARTMENT,Brussels,Brussels,Brussels,1000,1,2.0,95.0,UNKNOWN,C,1.0,0.0,1.0,1,1,0,0,0,1,0.0,13.0,0.0,370000.0
10661938,HOUSE,Brussels,Brussels,Brussels,1030,2,6.0,250.0,GOOD,E,3.0,0.0,4.0,0,1,0,0,0,0,0.0,0.0,110.0,985000.0
10661953,APARTMENT,Brussels,Brussels,Brussels,1000,1,1.0,50.0,UNKNOWN,D,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,240000.0
10661948,HOUSE,Flanders,East Flanders,Aalst,9400,3,3.0,112.0,AS_NEW,C,1.0,0.0,1.0,0,1,0,0,1,1,115.0,20.0,211.0,239000.0
10661951,HOUSE,Brussels,Brussels,Brussels,1000,1,3.0,180.0,UNKNOWN,E,2.0,1.0,3.0,0,1,0,0,0,0,0.0,0.0,0.0,750000.0
10661957,HOUSE,Brussels,Brussels,Brussels,1150,4,4.0,215.0,AS_NEW,UNKNOWN,2.0,0.0,3.0,0,1,0,0,1,1,218.0,0.0,218.0,925000.0
10661958,HOUSE,Wallonie,Luxembourg,Bastogne,6640,4,3.0,288.0,UNKNOWN,B,1.0,0.0,2.0,0,1,0,0,0,1,0.0,0.0,4024.0,465000.0
10661967,HOUSE,Flanders,Antwerp,Mechelen,2860,4,3.0,225.0,GOOD,C,1.0,1.0,2.0,0,1,0,0,1,1,0.0,0.0,1485.0,598000.0
10661961,HOUSE,Brussels,Brussels,Brussels,1170,4,4.0,265.0,JUST_RENOVATED,UNKNOWN,2.0,0.0,3.0,0,0,0,0,1,1,18.0,32.0,175.0,1100000.0
10661968,APARTMENT,Flanders,Antwerp,Mechelen,2800,3,2.0,72.0,TO_RENOVATE,B,1.0,0.0,1.0,1,1,0,0,0,1,0.0,0.0,0.0,163000.0
9482342,APARTMENT,Flanders,Antwerp,Antwerp,2980,4,2.0,110.0,UNKNOWN,UNKNOWN,1.0,0.0,1.0,1,1,0,0,0,1,0.0,25.0,0.0,333000.0
10661989,HOUSE,Flanders,East Flanders,Sint-Niklaas,9100,3,3.0,148.0,UNKNOWN,C,1.0,0.0,2.0,0,1,0,0,1,1,210.0,15.0,289.0,325000.0
10661992,APARTMENT,Flanders,Antwerp,Antwerp,2050,2,2.0,105.0,GOOD,B,1.0,0.0,0.0,1,0,0,0,0,1,0.0,10.0,0.0,199000.0
10661982,APARTMENT,Wallonie,Hainaut,Mons,7020,2,2.0,81.0,UNKNOWN,B,0.0,1.0,1.0,0,1,0,0,0,1,0.0,27.0,0.0,219000.0
